,testing,training,dow
2012-11-16 21:30:00,1.9013998859193275,1.3797827040019583,4
2012-11-16 21:45:00,1.8867418548081056,1.3797827040019583,4
2012-11-16 22:00:00,1.9349127897504315,1.3797827040019583,4
2012-11-16 22:15:00,2.015458014330567,1.3797827040019583,4
2012-11-16 22:30:00,2.1008054686016107,1.3797827040019583,4
2012-11-16 22:45:00,2.060019115560736,1.3797827040019583,4
2012-11-16 23:00:00,2.0768686333651023,1.3797827040019583,4
2012-11-16 23:15:00,2.1407050962058496,1.3797827040019583,4
2012-11-16 23:30:00,2.2155862980358996,1.3797827040019583,4
2012-11-16 23:45:00,2.2984524693624637,1.3797827040019583,4
2012-11-17 00:00:00,2.363830361319277,1.6897042135710858,5
2012-11-17 00:15:00,2.4326505377469956,1.6897042135710858,5
